EXPLORE TRANSPORT INC,175,WILL-ANDE,10/02/2015,10/05/2015,54668,825.00,FRANKLIN, VA,HAINES CITY, FL
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/15/2015,10/16/2015,54956,495.00,ORLANDO, FL,COLUMBIA, SC
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/17/2015,10/17/2015,54983,499.00,WEST COLUMBIA, SC,CLARKSVILLE, TN
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/19/2015,10/20/2015,55026,514.00,EDDYVILLE, KY,DUNCAN, SC
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/21/2015,10/22/2015,55104,672.00,PIEDMONT, SC,FOLCROFT, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/22/2015,10/23/2015,55175,521.00,FORT WASHINGTON, PA,WINSTON SALEM, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/23/2015,10/26/2015,55200,822.00,STATESVILLE, NC,HOLLISTON, MA
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/26/2015,10/27/2015,55206,307.00,AUBURN, MA,PHILADELPHIA, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/27/2015,10/28/2015,55245,399.00,PHILSDELPHIA, PA,UHRICHSVILLE, OH
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/28/2015,10/29/2015,55284,907.00,COSHOCTON, OH,MILTON, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/30/2015,11/02/2015,55381,954.00,ATMORE, AL,MENDOTA, IL
EXPLORE TRANSPORT INC,175,WILL-ANDE,11/04/2015,11/05/2015,55447,859.00,ST CHARLES, IL,NEWNAN, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,11/05/2015,11/06/2015,55513,852.00,HOSCHTON, GA,CHICAGO, IL
EXPLORE TRANSPORT INC,175,WILL-ANDE,11/06/2015,11/09/2015,55584,2149.00,CREST HILL, IL,WEST SACRAMENTO, CA
EXPLORE TRANSPORT INC,175,WILL-ANDE,11/11/2015,11/11/2015,55632,495.00,SACRAMENTO, CA,POMONA, CA
EXPLORE TRANSPORT INC,175,WILL-ANDE,11/12/2015,11/14/2015,55758,2767.00,POMONA, CA,PITTSTON, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,12/10/2015,12/11/2015,56509,1977.00,ELGIN, IL,HOUSTON, TX
EXPLORE TRANSPORT INC,175,WILL-ANDE,12/13/2015,12/15/2015,56630,2718.00,HOUSTON, TX,RICHOMOND, CA
EXPLORE TRANSPORT INC,175,WILL-ANDE,12/16/2015,12/16/2015,56689,1279.00,RICHMOND, CA,MORENO VALLEY, CA
EXPLORE TRANSPORT INC,175,WILL-ANDE,12/18/2015,12/21/2015,56859,2315.00,MORENO VALLEY, CA,GROVE CITY, OH
EXPLORE TRANSPORT INC,175,WILL-ANDE,12/22/2015,12/28/2015,57011,5597.00,GROVE CITY, OH,HARVEY, IL
EXPLORE TRANSPORT INC,175,WILL-ANDE,12/29/2015,12/31/2015,57035,802.00,MCCOOK, IL,CHARLOTTE, NC
